"variant","converged","heywood","kmo","rmsea","tli","rms","ari_vs_deployed"
"(a) minres 31v",TRUE,TRUE,0.807749036870259,0.0337147149102426,0.889902965818026,0.0235364466833473,1
"(b) ml 31v",TRUE,FALSE,0.807749036870259,0.0326528758636026,0.89672685058946,0.0245037885714544,1
"(c) pa 30v (no social_integration)",TRUE,FALSE,0.829733664978907,0.0293821324092923,0.908128785964412,0.0215862167840384,0.518238467797417
