"","1","2","3","4","5","6"
"Connected Wealthy",0,1,0,2,532,1
"Moderate",240,37,0,9,106,25
"Fragile",107,32,0,47,0,20
"Social Decline",1,0,147,0,0,1
"Wealthy Digital",29,1,44,0,53,11
"Asset Rich",12,12,0,8,13,296
