"","1","2","3","4","5","6"
"Connected Wealthy",29,0,478,0,2,27
"Moderate",19,0,1,34,9,354
"Fragile",0,0,0,159,47,0
"Social Decline",13,0,102,5,0,29
"Wealthy Digital",0,138,0,0,0,0
"Asset Rich",293,0,1,28,8,11
