"country","weight","n_binaries","ari_vs_deployed","profile_purity"
"Italy",0.5,9,0.370173490493113,0.641715727502103
"Sweden",0.5,11,0.334573882879652,0.602686066032457
"Italy",0.707106781186547,9,0.401201688139784,0.665685449957948
"Sweden",0.707106781186547,11,0.378711282683641,0.63794068270845
