"variant","alpha","n_kept","n_dropped","delta_vs_deployed","ari_vs_deployed","purity_profile_majority"
"alpha_0.0001",1e-04,1817,14,30,0.653746936208785,0.822048125349748
"alpha_0_no_exclusion",0,1831,0,44,0.55052706940199,0.726916620033576
