"outcome","adj_gap","se","ci_low","ci_high","p","n"
"spec_contacts",-0.668665803503014,0.173159184220693,-1.00864706567115,-0.328684541334881,0.000123241378766683,699
"dentist_12m",-27.8659543493884,3.72178666521034,-35.1713712400682,-20.5605374587086,1.82754932196117e-13,823
"doctor_visits",-0.863646465651465,0.611821261654858,-2.06458859766095,0.337295666358019,0.158451985492342,818
"gp_contacts",0.264124144145356,0.347626834368216,-0.418405695553305,0.946653983844017,0.447637588094082,700
"forgone_any_cost",0.54355168572572,2.02374507809695,-3.42881503108718,4.51591840253861,0.788315463002339,823
